0,0
0.001533,-0.001323
0.003252,-0.002246
0.005236,-0.002826
0.007384,-0.003198
0.009607,-0.003533
0.011908,-0.003845
0.014315,-0.004112
0.016836,-0.004342
0.019471,-0.004555
0.022228,-0.004756
0.02512,-0.004948
0.02816,-0.005133
0.03136,-0.005314
0.034735,-0.005494
0.038305,-0.005672
0.042089,-0.005848
0.04611,-0.006025
0.050394,-0.006201
0.054973,-0.006377
0.059882,-0.006553
0.065162,-0.006729
0.070857,-0.006905
0.077023,-0.007084
0.083717,-0.007264
0.091006,-0.007446
0.098961,-0.007633
0.107656,-0.007822
0.117167,-0.008014
0.127558,-0.008206
0.138881,-0.008399
0.151159,-0.008588
0.164383,-0.008772
0.178505,-0.008945
0.193444,-0.009107
0.20909,-0.009253
0.225326,-0.00938
0.242032,-0.009485
0.259104,-0.009567
0.27645,-0.009624
0.293999,-0.009655
0.311694,-0.00966
0.329491,-0.00964
0.347357,-0.009593
0.365266,-0.009518
0.3832,-0.009407
0.401148,-0.009253
0.419109,-0.009048
0.437086,-0.008791
0.455081,-0.008486
0.473098,-0.008141
0.491134,-0.00776
0.50919,-0.007349
0.527263,-0.006913
0.545351,-0.006453
0.563454,-0.005974
0.581571,-0.005477
0.599699,-0.004967
0.617837,-0.004446
0.635982,-0.003917
0.654132,-0.003383
0.672281,-0.002847
0.690424,-0.002313
0.708555,-0.001784
0.726668,-0.001262
0.744758,-0.000753
0.76282,-0.000261
0.780847,0.000209
0.798832,0.000652
0.816766,0.001061
0.83464,0.001428
0.852439,0.001745
0.870149,0.002003
0.887749,0.002192
0.905215,0.002299
0.922514,0.002311
0.939613,0.002208
0.956469,0.001965
0.973044,0.001539
0.98931,0.000832
1,0.0004
